"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.120758620E-1,-5.085000038E0,4.936950207E0,-3.724950075E0
5.146094000E-1,-5.860050201E0,5.454000473E0,-3.445050240E0
5.171432160E-1,-6.778050423E0,5.995050430E0,-3.079050064E0
5.196769850E-1,-7.743000507E0,6.505950451E0,-2.887050152E0
5.222105250E-1,-8.707950592E0,7.083000183E0,-2.764950037E0
5.247441410E-1,-9.321000099E0,7.654950142E0,-2.632950068E0
5.272779760E-1,-9.511050224E0,7.930950165E0,-2.370000124E0
5.298115160E-1,-9.345000267E0,7.971000195E0,-2.130000114E0
5.323452840E-1,-8.887950897E0,7.813050270E0,-1.900050044E0
5.348789010E-1,-8.275050163E0,7.492050171E0,-1.837950110E0
5.374126440E-1,-7.498950481E0,7.068000317E0,-1.966950059E0
5.399462620E-1,-6.684000492E0,6.679950237E0,-2.248050213E0
5.424800290E-1,-6.028050423E0,6.273000240E0,-2.703000069E0
5.450135690E-1,-5.491950035E0,5.932950497E0,-3.184050083E0
5.475471830E-1,-5.161050320E0,5.689050198E0,-3.649050236E0
5.500809520E-1,-4.990950108E0,5.503950119E0,-4.032000065E0
5.526145690E-1,-4.881000042E0,5.404050350E0,-4.353000164E0
5.551483370E-1,-4.873950005E0,5.365950108E0,-4.657050133E0
5.576819630E-1,-4.941000462E0,5.445000172E0,-4.791000366E0
5.602157300E-1,-4.962000370E0,5.452050209E0,-4.813050270E0
5.627493480E-1,-5.046000004E0,5.445000172E0,-4.723950386E0
5.652831150E-1,-5.178000450E0,5.461050034E0,-4.473000050E0
5.678166990E-1,-5.341050148E0,5.503950119E0,-4.092000008E0
5.703502380E-1,-5.452950478E0,5.530950069E0,-3.856950283E0
5.728840050E-1,-5.572950363E0,5.539950371E0,-3.730050087E0
5.754176220E-1,-5.671050072E0,5.554950237E0,-3.582000256E0
5.779513750E-1,-5.728950500E0,5.526000500E0,-3.589050055E0
5.804849920E-1,-5.887050152E0,5.518950462E0,-3.607950211E0
5.830187590E-1,-5.983050346E0,5.497050285E0,-3.661050081E0
5.855523000E-1,-6.070950508E0,5.437050343E0,-3.673050165E0
5.880861200E-1,-6.208050251E0,5.398950100E0,-3.651000261E0
5.906197370E-1,-6.304050446E0,5.346000195E0,-3.649050236E0
5.931532760E-1,-6.382950306E0,5.326950073E0,-3.637050152E0
5.956870430E-1,-6.462000370E0,5.301000118E0,-3.724950075E0
5.982206890E-1,-6.466050148E0,5.299050331E0,-3.739950180E0
6.007544570E-1,-6.481050491E0,5.337000370E0,-3.735000134E0
6.032880740E-1,-6.583950520E0,5.373000145E0,-3.759000063E0
6.058218410E-1,-6.591000080E0,5.428050041E0,-3.751950264E0
6.083554350E-1,-6.814050198E0,5.433000088E0,-3.759000063E0
6.108892020E-1,-7.396050453E0,5.322000027E0,-3.642000198E0
6.134227420E-1,-7.768950462E0,5.092950344E0,-3.804000139E0
6.159565860E-1,-7.924950600E0,4.810050011E0,-4.171050072E0
6.184901410E-1,-7.887000561E0,4.864950180E0,-4.485000134E0
6.210237560E-1,-7.803000450E0,5.203050137E0,-4.729050159E0
6.235575240E-1,-7.543950558E0,5.416050434E0,-5.014050007E0
6.260911410E-1,-7.350000381E0,5.374950409E0,-5.227050304E0
6.286248990E-1,-7.333050251E0,5.326950073E0,-5.248950481E0
6.311585170E-1,-7.398000240E0,5.356050491E0,-5.179050446E0
6.336920550E-1,-7.410000324E0,5.404050350E0,-5.257950306E0
6.362258220E-1,-7.506000519E0,5.425050259E0,-5.232000351E0
6.387596930E-1,-7.539000511E0,5.413050175E0,-5.128950119E0
6.412933110E-1,-7.503000259E0,5.413050175E0,-5.158050060E0
6.438268490E-1,-7.381050587E0,5.445000172E0,-5.196000099E0
6.463606160E-1,-7.306950569E0,5.506950378E0,-5.257950306E0
6.488942290E-1,-7.144050121E0,5.515950203E0,-5.275050163E0
6.514279960E-1,-6.979050159E0,5.490000248E0,-5.337000370E0
6.539616140E-1,-6.952950478E0,5.550000191E0,-5.218050480E0
6.564953810E-1,-6.900000095E0,5.542950153E0,-4.951950073E0
6.590289450E-1,-6.814050198E0,5.545050144E0,-4.798050404E0
6.615625590E-1,-6.744000435E0,5.569050312E0,-4.630950451E0
6.640963280E-1,-6.660000324E0,5.614950180E0,-4.378950119E0
6.666299450E-1,-6.636000156E0,5.634000301E0,-4.393949986E0
6.691636970E-1,-6.684000492E0,5.629050255E0,-4.494000435E0
6.716973150E-1,-6.435000420E0,5.581050396E0,-4.687950134E0
6.742310820E-1,-6.286950111E0,5.502000332E0,-4.873050213E0
6.767646990E-1,-6.222000122E0,5.421000481E0,-5.016000271E0
6.792985010E-1,-6.121950150E0,5.272050381E0,-5.155050278E0
6.818321180E-1,-6.265050411E0,5.185950279E0,-5.188950062E0
6.843656570E-1,-6.354000092E0,5.116050243E0,-5.167050362E0
6.868994240E-1,-6.319950104E0,5.092950344E0,-5.230050087E0
6.894330410E-1,-6.379950523E0,5.016000271E0,-5.424000263E0
6.919668080E-1,-6.603000164E0,4.942050457E0,-5.598000050E0
6.945004260E-1,-6.771000385E0,4.882050037E0,-5.674950123E0
6.970341930E-1,-6.984000206E0,4.836000443E0,-5.754000187E0
6.995678430E-1,-7.186950207E0,4.858050346E0,-5.788050175E0
7.021016110E-1,-7.120050430E0,4.887000084E0,-5.725050449E0
7.046352280E-1,-7.068000317E0,4.992000103E0,-5.620050430E0
7.071689950E-1,-7.000950336E0,5.113950253E0,-5.449950218E0
7.097026230E-1,-6.877950191E0,5.212050438E0,-5.173950195E0
7.122361610E-1,-6.616950512E0,5.358000278E0,-4.861050129E0
7.147700050E-1,-6.385050297E0,5.469000340E0,-4.666950226E0
7.173035460E-1,-6.049950123E0,5.526000500E0,-4.456050396E0
7.198372890E-1,-5.913000107E0,5.605050087E0,-4.233000278E0
7.223709060E-1,-5.913000107E0,5.715000153E0,-4.180050373E0
7.249046740E-1,-5.784000397E0,5.710050106E0,-4.171050072E0
7.274382910E-1,-5.740950108E0,5.730000496E0,-4.111050129E0
7.299720960E-1,-5.844000340E0,5.662950039E0,-4.117949963E0
7.325057140E-1,-5.869950294E0,5.658000469E0,-4.264050007E0
7.350392520E-1,-5.781000137E0,5.659950256E0,-4.342950344E0
