"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.621458550E-1,-3.849999979E-3,-3.761999905E-1,-2.175250053E-1
6.646794720E-1,-8.112499490E-3,-3.815625012E-1,-2.026749998E-1
6.672132630E-1,-1.663750038E-2,-3.932499886E-1,-1.876875013E-1
6.697468810E-1,-2.626249939E-2,-4.060375094E-1,-1.728374958E-1
6.722804190E-1,-4.015000165E-2,-4.134624898E-1,-1.579875052E-1
6.748141870E-1,-6.132499874E-2,-4.219875038E-1,-1.420374960E-1
6.773480330E-1,-7.095000148E-2,-4.273499846E-1,-1.335124969E-1
6.798815730E-1,-6.984999776E-2,-4.262500107E-1,-1.249874979E-1
6.824151890E-1,-6.984999776E-2,-4.145624936E-1,-1.207249984E-1
6.849489560E-1,-6.875000149E-2,-4.081000090E-1,-1.185249984E-1
6.874825630E-1,-6.242499873E-2,-4.038375020E-1,-1.175625026E-1
6.900163300E-1,-6.036249921E-2,-3.932499886E-1,-1.175625026E-1
6.925499480E-1,-5.926249921E-2,-3.815625012E-1,-1.207249984E-1
6.950837150E-1,-5.926249921E-2,-3.783999979E-1,-1.249874979E-1
6.976173080E-1,-5.609999970E-2,-3.719374835E-1,-1.281500012E-1
7.001510760E-1,-5.389999971E-2,-3.687750101E-1,-1.270499974E-1
7.026846930E-1,-4.427500069E-2,-3.826625049E-1,-1.175625026E-1
7.052182320E-1,-3.684999794E-2,-3.793624938E-1,-1.099999994E-1
7.077520860E-1,-3.684999794E-2,-3.772999942E-1,-1.057374999E-1
7.102856260E-1,-2.626249939E-2,-3.943499923E-1,-9.941250086E-2
7.128194700E-1,-9.212499484E-3,-4.145624936E-1,-9.404999763E-2
7.153530110E-1,6.737499963E-3,-4.177249968E-1,-9.404999763E-2
7.178867540E-1,2.914999984E-2,-4.230875075E-1,-9.308750182E-2
7.204203710E-1,7.053750008E-2,-6.571124792E-1,-6.435000151E-2
7.229541390E-1,1.046374962E-1,-1.039224982E0,-3.574999981E-3
7.254877560E-1,1.142624989E-1,-9.168499708E-1,5.059999973E-2
7.280215470E-1,1.216875017E-1,-4.666749835E-1,5.912499875E-2
7.305551650E-1,1.355749965E-1,-2.506625056E-1,2.612499893E-2
7.330889320E-1,1.504250020E-1,-3.209249973E-1,-2.708750032E-2
7.356225490E-1,1.482249945E-1,-4.444000125E-1,-8.236250281E-2
7.381563460E-1,1.387374997E-1,-5.017374754E-1,-1.185249984E-1
7.406899630E-1,1.396999955E-1,-4.837250113E-1,-1.335124969E-1
7.432237300E-1,1.557874978E-1,-4.060375094E-1,-1.344749928E-1
7.457572710E-1,1.674750000E-1,-3.326124847E-1,-1.292500049E-1
7.482908160E-1,1.706375033E-1,-2.921875119E-1,-1.185249984E-1
7.508245850E-1,1.674750000E-1,-2.793999910E-1,-1.057374999E-1
7.533582030E-1,1.652749926E-1,-2.697750032E-1,-9.624999762E-2
7.558919700E-1,1.717374921E-1,-2.602874935E-1,-9.198749810E-2
7.584255730E-1,1.769624949E-1,-2.549250126E-1,-9.515000135E-2
7.609593410E-1,1.791625023E-1,-2.432374954E-1,-9.941250086E-2
7.634929580E-1,1.802625060E-1,-2.421374917E-1,-1.079374999E-1
7.660267250E-1,1.823250055E-1,-2.400749922E-1,-1.164624989E-1
