"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.885080620E-1,-3.220950127E0,8.446050644E0,-3.037950039E0
3.910419080E-1,-3.147000074E0,8.485950470E0,-2.983050108E0
3.935754390E-1,-3.157050133E0,8.460000038E0,-2.997000217E0
3.961092060E-1,-3.171000242E0,8.532000542E0,-3.045000076E0
3.986428230E-1,-3.190050125E0,8.569950104E0,-3.048000097E0
4.011765900E-1,-3.267000198E0,8.596050262E0,-3.076050043E0
4.037102080E-1,-3.343050241E0,8.581950188E0,-3.108000040E0
4.062439750E-1,-3.430050135E0,8.512949944E0,-3.142950058E0
4.087775920E-1,-3.547050238E0,8.458050728E0,-3.205950260E0
4.113113600E-1,-3.655050278E0,8.410050392E0,-3.330000162E0
4.138450010E-1,-3.772050142E0,8.374050140E0,-3.400050163E0
4.163787680E-1,-3.873000145E0,8.299050331E0,-3.352050066E0
4.189123090E-1,-3.906000137E0,8.236949921E0,-3.292050123E0
4.214461530E-1,-3.894000292E0,8.175000191E0,-3.250950098E0
4.239796790E-1,-3.925050259E0,8.163000107E0,-3.211050034E0
4.265132950E-1,-3.946950197E0,8.107950211E0,-3.318000078E0
4.290470620E-1,-4.047000408E0,8.091000557E0,-3.514950275E0
4.315806790E-1,-4.083000183E0,8.134050369E0,-3.699000120E0
4.341144470E-1,-4.027950287E0,8.095950127E0,-3.976950169E0
4.366480640E-1,-3.934950113E0,7.888050556E0,-4.233000278E0
4.391818310E-1,-3.825000286E0,7.717050552E0,-4.252050400E0
4.417154490E-1,-3.670950174E0,7.701000214E0,-4.353000164E0
4.442492110E-1,-3.451050282E0,7.696050167E0,-4.306950092E0
4.467828280E-1,-3.334050179E0,7.738950253E0,-4.135050297E0
4.493165960E-1,-3.280950069E0,7.866000175E0,-3.892950296E0
4.518502130E-1,-3.291000128E0,7.954950333E0,-3.754050255E0
4.543839750E-1,-3.310050249E0,8.089050293E0,-3.766050100E0
4.569175930E-1,-3.312000275E0,8.251950264E0,-3.922050238E0
4.594511310E-1,-3.223950148E0,8.367000580E0,-4.164000034E0
4.619848980E-1,-3.043950081E0,8.436000824E0,-4.384050369E0
4.645185060E-1,-2.842950106E0,8.407050133E0,-4.678950310E0
4.670522730E-1,-2.764050245E0,8.374050140E0,-4.699950218E0
4.695858900E-1,-2.764050245E0,8.343000412E0,-4.564050198E0
4.721196580E-1,-2.887950182E0,8.347050667E0,-4.351050377E0
4.746532650E-1,-3.112950087E0,8.431050301E0,-4.044000149E0
4.771870320E-1,-3.336000204E0,8.520000458E0,-3.778050184E0
4.797206500E-1,-3.528000116E0,8.581950188E0,-3.651000261E0
4.822544170E-1,-3.691050291E0,8.698950768E0,-3.637050152E0
4.847880590E-1,-3.856050253E0,8.761950493E0,-3.670050144E0
4.873218260E-1,-3.892050266E0,8.661000252E0,-3.634050131E0
4.898554440E-1,-3.922950268E0,8.545949936E0,-3.531000137E0
4.923889820E-1,-3.997050285E0,8.412000656E0,-3.498000145E0
4.949227440E-1,-4.126950264E0,8.296950340E0,-3.546000242E0
4.974563620E-1,-4.218000412E0,8.350049973E0,-3.682050228E0
4.999902060E-1,-4.354050159E0,8.817000389E0,-3.747000217E0
5.025237470E-1,-4.432950020E0,9.052050591E0,-3.651000261E0
5.050574900E-1,-4.427999973E0,8.848050117E0,-3.535950184E0
5.075911070E-1,-4.186050415E0,8.644050598E0,-3.618000269E0
5.101248740E-1,-4.218000412E0,8.304000854E0,-3.582000256E0
5.126584920E-1,-4.579050064E0,7.930950165E0,-3.675000191E0
5.151922680E-1,-4.902000427E0,7.765050411E0,-3.898050070E0
5.177258850E-1,-5.199000359E0,7.531050205E0,-4.201950073E0
5.202596530E-1,-5.419950485E0,7.284000397E0,-4.348050117E0
5.227931930E-1,-5.500950336E0,7.176000118E0,-4.377000332E0
5.253270520E-1,-5.568000317E0,7.219050407E0,-4.195050240E0
5.278605930E-1,-5.458050251E0,7.264950275E0,-3.939000130E0
5.303944370E-1,-5.238000393E0,7.461000443E0,-3.690000057E0
5.329279770E-1,-4.984050274E0,7.696050167E0,-3.519000053E0
5.354616020E-1,-4.825950146E0,7.785000324E0,-3.474000216E0
5.379953690E-1,-4.576950073E0,7.854000568E0,-3.405000210E0
5.405289860E-1,-4.150050163E0,8.065050125E0,-3.472050190E0
5.430627540E-1,-2.919000149E0,8.938950539E0,-3.634050131E0
5.455963470E-1,-2.578950167E0,9.234000206E0,-3.462000132E0
5.481301140E-1,-2.898000240E0,8.817000389E0,-3.598050117E0
5.506637320E-1,-3.006000042E0,8.674950600E0,-3.976950169E0
5.531974990E-1,-3.300000191E0,8.941050529E0,-3.864000082E0
5.557311450E-1,-3.625950098E0,9.094950676E0,-3.639000177E0
5.582649120E-1,-3.772050142E0,9.034950256E0,-3.697050095E0
5.607985300E-1,-4.240950108E0,8.710950851E0,-3.694050074E0
5.633322970E-1,-4.701000214E0,8.320950508E0,-3.201000214E0
5.658658380E-1,-4.680000305E0,8.065050125E0,-2.923050165E0
5.683994510E-1,-4.888050079E0,7.878000259E0,-3.445050240E0
5.709332200E-1,-4.933950424E0,8.074049950E0,-4.093950272E0
5.734670660E-1,-4.681950092E0,8.188950539E0,-4.152000427E0
5.760005830E-1,-4.882950306E0,8.026050568E0,-3.606000185E0
5.785341980E-1,-4.740000248E0,7.926000595E0,-3.462000132E0
5.810679650E-1,-4.495050430E0,7.935000420E0,-3.534000158E0
5.836015830E-1,-4.408950329E0,7.866000175E0,-3.637050152E0
5.861353590E-1,-4.297049999E0,7.786950588E0,-3.606000185E0
5.886689760E-1,-4.210050106E0,7.726950169E0,-3.606000185E0
5.912027440E-1,-4.252950191E0,7.737000465E0,-3.622050285E0
5.937363610E-1,-4.252950191E0,7.674000263E0,-3.637050152E0
5.962701480E-1,-4.297049999E0,7.684050560E0,-3.808950186E0
