"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.930190060E-1,5.761250108E-2,-1.176999956E-1,-1.343374997E-1
4.955525440E-1,5.555000156E-2,-1.219625026E-1,-1.322750002E-1
4.980863120E-1,5.238749832E-2,-1.251250058E-1,-1.311749965E-1
5.006198280E-1,5.018749833E-2,-1.241625026E-1,-1.333750039E-1
5.031536720E-1,4.276249930E-2,-1.176999956E-1,-1.385999918E-1
5.056872130E-1,3.423750028E-2,-9.322500229E-2,-1.567499936E-1
5.082208280E-1,2.254999988E-2,-4.853750020E-2,-1.673374921E-1
5.107543780E-1,1.292499993E-2,4.124999978E-4,-1.588124931E-1
5.132881450E-1,5.499999970E-3,3.341250122E-2,-1.354375035E-1
5.158216850E-1,2.337499987E-3,3.877500072E-2,-1.035374999E-1
5.183552990E-1,-1.924999990E-3,3.024999984E-2,-7.906249911E-2
5.208890860E-1,-9.349999949E-3,1.636249945E-2,-6.421250105E-2
5.234226260E-1,-1.361249946E-2,6.737499963E-3,-5.775000155E-2
5.259562400E-1,-2.529999986E-2,1.319999993E-2,-5.664999783E-2
5.284900090E-1,-3.712499887E-2,2.598750032E-2,-4.606249928E-2
5.310235500E-1,-5.197500065E-2,4.509999976E-2,-3.011249937E-2
5.335571630E-1,-6.256250292E-2,6.215000153E-2,-1.306249946E-2
5.360907030E-1,-7.535000145E-2,7.809999585E-2,3.987499978E-3
5.386244710E-1,-8.277499676E-2,9.088750184E-2,2.199999988E-2
5.411581070E-1,-9.350000322E-2,9.515000135E-2,3.698749840E-2
5.436916450E-1,-1.040875018E-1,9.941250086E-2,4.963750020E-2
5.462254130E-1,-1.051874980E-1,9.831249714E-2,5.816249922E-2
5.487590300E-1,-1.062875018E-1,9.515000135E-2,6.572499871E-2
5.512925500E-1,-1.062875018E-1,8.868750185E-2,7.521250099E-2
5.538263170E-1,-1.029874980E-1,7.919999957E-2,8.263749629E-2
5.563599340E-1,-1.020250022E-1,6.641250104E-2,9.116250277E-2
5.588934730E-1,-9.776250273E-2,4.826249927E-2,9.336250275E-2
5.614272640E-1,-9.776250273E-2,3.231250122E-2,9.542500228E-2
5.639608810E-1,-9.776250273E-2,1.856249943E-2,1.007874981E-1
5.664944200E-1,-9.556250274E-2,8.937500417E-3,1.050499976E-1
5.690281870E-1,-9.350000322E-2,1.512499992E-3,1.061500013E-1
5.715617940E-1,-9.239999950E-2,-2.749999985E-3,1.039500013E-1
5.740953330E-1,-8.813749999E-2,-8.112499490E-3,1.039500013E-1
5.766291000E-1,-8.607500046E-2,-1.347499993E-2,1.018875018E-1
5.791626410E-1,-8.071249723E-2,-1.017499994E-2,1.018875018E-1
5.816962260E-1,-8.277499676E-2,-1.347499993E-2,1.007874981E-1
5.842297660E-1,-8.277499676E-2,-1.773750037E-2,9.652499855E-2
5.867636110E-1,-8.277499676E-2,-1.979999989E-2,9.336250275E-2
5.892971510E-1,-8.387500048E-2,-1.553750038E-2,9.116250277E-2
5.918309180E-1,-8.703749627E-2,-1.663750038E-2,8.799999952E-2
5.943644590E-1,-9.350000322E-2,-2.199999988E-2,8.263749629E-2
