"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.664141980E-1,-1.131405067E1,2.142000198E0,-1.138950109E0
6.689478140E-1,-1.097895050E1,1.324950099E0,-1.042950034E0
6.714815810E-1,-1.085400009E1,9.949500561E-1,-3.720000088E-1
6.740151210E-1,-1.086600018E1,1.063950062E0,5.320500135E-1
6.765487310E-1,-1.074900055E1,1.045050025E0,1.602000117E0
6.790825000E-1,-1.065105057E1,8.490000367E-1,2.596050024E0
6.816160400E-1,-1.057605076E1,6.900000572E-1,3.159000158E0
6.841496540E-1,-1.053105068E1,7.549500465E-1,3.307950258E0
6.866834370E-1,-1.061700058E1,9.439500570E-1,2.878950119E0
6.892170540E-1,-1.079205036E1,9.730500579E-1,2.164950132E0
6.917505930E-1,-1.096905041E1,9.640500546E-1,1.636050105E0
6.942843980E-1,-1.108605099E1,8.340000510E-1,1.312950015E0
6.968180500E-1,-1.120095062E1,7.789500356E-1,1.200000048E0
6.993517130E-1,-1.137105083E1,6.670500040E-1,1.095000029E0
7.018958600E-1,-1.137405014E1,6.109500527E-1,9.850500226E-1
7.044189390E-1,-1.116795063E1,6.019500494E-1,1.104000092E0
7.069527060E-1,-1.107405090E1,6.379500031E-1,1.068000078E0
7.094863210E-1,-1.099305058E1,6.930000186E-1,1.104000092E0
7.120198650E-1,-1.091895008E1,7.189500332E-1,1.284000039E0
7.145536340E-1,-1.085205078E1,8.629500270E-1,1.662000060E0
7.170872490E-1,-1.076805019E1,1.018950105E0,1.954950094E0
7.196207900E-1,-1.063095093E1,1.203000069E0,2.404950142E0
7.221545430E-1,-1.042305088E1,1.396950126E0,2.817000151E0
7.246881600E-1,-1.010400009E1,1.522050023E0,3.183000088E0
7.272219280E-1,-9.834000587E0,1.632000089E0,3.304950237E0
7.297555450E-1,-9.640050888E0,1.749000072E0,3.154050112E0
7.322890600E-1,-9.496050835E0,1.845000029E0,2.937000036E0
7.348228270E-1,-9.312000275E0,1.773000121E0,2.740050077E0
7.373564440E-1,-9.199050903E0,1.629000068E0,2.395050049E0
7.398899830E-1,-9.196950912E0,1.435050011E0,2.022000074E0
7.424237600E-1,-9.157950401E0,1.146000028E0,1.701000094E0
7.449573770E-1,-9.130050659E0,8.820000291E-1,1.522950053E0
7.474911450E-1,-9.166050911E0,6.090000272E-1,1.447050095E0
7.500246850E-1,-9.067049980E0,4.200000167E-1,1.594950080E0
7.525582840E-1,-8.907000542E0,2.950500250E-1,1.885050058E0
7.550920540E-1,-8.662950516E0,1.609500051E-1,2.009999990E0
7.576256710E-1,-8.469000816E0,8.895000070E-2,2.119950056E0
7.601594380E-1,-8.320050240E0,6.300000101E-2,2.266050100E0
7.626929930E-1,-8.263050079E0,7.995000482E-2,2.359050035E0
