"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.716401220E-1,-2.073500007E-1,7.592750192E-1,8.850874901E-1
8.741737440E-1,-1.775124967E-1,7.347999811E-1,8.137249947E-1
8.767075140E-1,-1.541374922E-1,7.166500092E-1,7.297124863E-1
8.792410540E-1,-1.317249984E-1,7.038624883E-1,6.424000263E-1
8.817748980E-1,-1.231999993E-1,6.901124716E-1,5.552250147E-1
8.843084680E-1,-1.115124971E-1,6.719624996E-1,4.679124951E-1
8.868420830E-1,-1.115124971E-1,6.538124681E-1,3.817000091E-1
8.893756210E-1,-1.135749966E-1,6.304374933E-1,3.093749881E-1
8.919093890E-1,-1.126125008E-1,5.953750014E-1,2.359499931E-1
8.944430010E-1,-1.231999993E-1,5.495874882E-1,1.645874977E-1
8.969767680E-1,-1.296624988E-1,4.889499843E-1,1.102750003E-1
8.995103090E-1,-1.370874941E-1,4.303750098E-1,5.926249921E-2
9.020439220E-1,-1.519374996E-1,3.632749915E-1,1.141249947E-2
9.045776910E-1,-1.786125004E-1,3.068999946E-1,-2.062499896E-2
9.071112320E-1,-2.094125003E-1,2.675749958E-1,-5.142499879E-2
9.096448450E-1,-2.424124926E-1,2.356749922E-1,-7.479999959E-2
9.121786150E-1,-2.637250125E-1,2.228875011E-1,-9.295000136E-2
9.147122370E-1,-2.785750031E-1,2.206874937E-1,-1.131625026E-1
9.172460040E-1,-2.807750106E-1,2.249500006E-1,-1.333750039E-1
9.197795450E-1,-2.679874897E-1,2.431000024E-1,-1.493249983E-1
9.223131580E-1,-2.551999986E-1,2.761000097E-1,-1.600500047E-1
9.248469030E-1,-2.477750033E-1,3.293125033E-1,-1.621125042E-1
9.273805210E-1,-2.424124926E-1,3.942124844E-1,-1.632124931E-1
9.299140590E-1,-2.529999912E-1,4.761624932E-1,-1.567499936E-1
9.324478260E-1,-2.722499967E-1,5.666375160E-1,-1.600500047E-1
9.349814200E-1,-2.870999873E-1,6.528499722E-1,-1.600500047E-1
